There Will Be Blood 	2007	204505	8.1	0000001222	There Will Be Blood (2007)
Toy Story 2 	1999	203481	8.0	0000001311	Toy Story 2 (1999)
Indiana Jones and the Kingdom of the Crystal Skull 	2008	202349	6.4	0000112100	Indiana Jones and the Kingdom of the Crystal Skull (2008)
The Fifth Element 	1997	202286	7.6	0000002211	The Fifth Element (1997)
Harry Potter and the Prisoner of Azkaban 	2004	201932	7.7	0000002211	Harry Potter and the Prisoner of Azkaban (2004)
Into the Wild 	2007	201148	8.1	0000001222	Into the Wild (2007)
War of the Worlds 	2005	198493	6.5	0000112100	War of the Worlds (2005)
Lost in Translation 	2003	198192	7.8	0000001222	Lost in Translation (2003)
Edward Scissorhands 	1990	198117	8.0	0000001312	Edward Scissorhands (1990)
The Butterfly Effect 	2004	197672	7.7	0000001311	The Butterfly Effect (2004)
Cast Away 	2000	197182	7.6	0000002311	Cast Away (2000)
The Notebook 	2004	196250	7.9	0000001213	The Notebook (2004)
Hot Fuzz 	2007	196232	7.9	0000001222	Hot Fuzz (2007)
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 	2006	193083	7.4	0000001212	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Cloverfield 	2008	193045	7.2	0000011211	Cloverfield (2008)
American Gangster 	2007	191921	7.8	0000001321	American Gangster (2007)
Zombieland 	2009	191416	7.8	0000002311	Zombieland (2009)
Harry Potter and the Order of the Phoenix 	2007	189861	7.3	0000012211	Harry Potter and the Order of the Phoenix (2007)
The Bourne Supremacy 	2004	189687	7.7	0000002311	The Bourne Supremacy (2004)
Rise of the Planet of the Apes 	2011	188664	7.6	0000002311	Rise of the Planet of the Apes (2011)
Sen to Chihiro no kamikakushi 	2001	188356	8.5	0000000123	Sen to Chihiro no kamikakushi (2001)
500) Days of Summer 	2009	187470	7.9	0000001221	(500) Days of Summer (2009)
Citizen Kane 	1941	187099	8.5	0000001123	Citizen Kane (1941)
Captain America: The First Avenger 	2011	186407	6.8	0000012100	Captain America: The First Avenger (2011)
American Psycho 	2000	183983	7.6	0000002211	American Psycho (2000)
Source Code 	2011	181567	7.5	0000012311	Source Code (2011)
In Bruges 	2008	181547	8.0	0000001321	In Bruges (2008)
The Da Vinci Code 	2006	181282	6.4	0000122100	The Da Vinci Code (2006)
Tropic Thunder 	2008	178704	7.0	0000012211	Tropic Thunder (2008)
Collateral 	2004	178662	7.6	0000002311	Collateral (2004)
Hancock 	2008	177223	6.5	0000122100	Hancock (2008)
Rear Window 	1954	176545	8.6	0000001222	Rear Window (1954)
How to Train Your Dragon 	2010	176080	8.1	0000001222	How to Train Your Dragon (2010)
Casino 	1995	175480	8.1	0000001322	Casino (1995)
Terminator 3: Rise of the Machines 	2003	175088	6.5	0000122100	Terminator 3: Rise of the Machines (2003)
Indiana Jones and the Temple of Doom 	1984	174555	7.6	0000012211	Indiana Jones and the Temple of Doom (1984)
Signs 	2002	174327	6.8	0000012110	Signs (2002)
Rocky 	1976	173983	8.0	0000001222	Rocky (1976)
The Exorcist 	1973	173831	8.0	0000001222	The Exorcist (1973)
28 Days Later... 	2002	173749	7.6	0000002311	28 Days Later... (2002)
The Princess Bride 	1987	173632	8.0	0000001223	The Princess Bride (1987)
Love Actually 	2003	173481	7.8	0000001212	Love Actually (2003)
Charlie and the Chocolate Factory 	2005	172678	6.8	0000012201	Charlie and the Chocolate Factory (2005)
Transformers: Dark of the Moon 	2011	172552	6.3	0000012101	Transformers: Dark of the Moon (2011)
Face/Off 	1997	172077	7.3	0000012211	Face/Off (1997)
The 40 Year Old Virgin 	2005	170917	7.3	0000012211	The 40 Year Old Virgin (2005)
The Wrestler 	2008	170830	8.0	0000001321	The Wrestler (2008)
Oldeuboi 	2003	170825	8.3	0000000223	Oldeuboi (2003)
The Hangover Part II 	2011	170191	6.5	0000022100	The Hangover Part II (2011)
The Hurt Locker 	2008	170173	7.7	0000002211	The Hurt Locker (2008)
Pirates of the Caribbean: On Stranger Tides 	2011	169645	6.6	0000012101	Pirates of the Caribbean: On Stranger Tides (2011)
The Incredible Hulk 	2008	169544	6.9	0000013200	The Incredible Hulk (2008)
Black Hawk Down 	2001	168522	7.7	0000001311	Black Hawk Down (2001)
Shrek 2 	2004	168369	7.3	0000012211	Shrek 2 (2004)
Quantum of Solace 	2008	168106	6.7	0000013100	Quantum of Solace (2008)
Magnolia 	1999	168016	8.0	0000001222	Magnolia (1999)
Limitless 	2011	168000	7.3	0000012211	Limitless (2011/I)
Platoon 	1986	167984	8.1	0000001321	Platoon (1986)
Brokeback Mountain 	2005	167572	7.7	0000001212	Brokeback Mountain (2005)
The Illusionist 	2006	166876	7.6	0000002311	The Illusionist (2006)
The Pursuit of Happyness 	2006	166416	7.8	0000001321	The Pursuit of Happyness (2006)
The Simpsons Movie 	2007	166317	7.5	0000012211	The Simpsons Movie (2007)
Wedding Crashers 	2005	165999	7.0	0000012211	Wedding Crashers (2005)
Terminator Salvation 	2009	165755	6.7	0000012100	Terminator Salvation (2009)
Die Hard: With a Vengeance 	1995	164819	7.5	0000002311	Die Hard: With a Vengeance (1995)
Harry Potter and the Deathly Hallows: Part 1 	2010	164769	7.6	0000001212	Harry Potter and the Deathly Hallows: Part 1 (2010)
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 	2005	164381	6.9	0000012101	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)
Ice Age 	2002	163316	7.5	0000002311	Ice Age (2002)
Predator 	1987	163094	7.9	0000001311	Predator (1987)
Being John Malkovich 	1999	162955	7.8	0000001221	Being John Malkovich (1999)
Bruce Almighty 	2003	162557	6.6	0000023100	Bruce Almighty (2003)
Dumb & Dumber 	1994	161757	7.2	0000012211	Dumb & Dumber (1994)
Back to the Future Part II 	1989	160971	7.7	0000002211	Back to the Future Part II (1989)
Training Day 	2001	160963	7.6	0000002311	Training Day (2001)
Sherlock Holmes: A Game of Shadows 	2011	160328	7.5	0000002211	Sherlock Holmes: A Game of Shadows (2011)
Lucky Number Slevin 	2006	160306	7.8	0000001321	Lucky Number Slevin (2006)
Horrible Bosses 	2011	159126	7.0	0000013200	Horrible Bosses (2011)
Inside Man 	2006	158802	7.7	0000002311	Inside Man (2006)
The Girl with the Dragon Tattoo 	2011	157526	7.9	0000001321	The Girl with the Dragon Tattoo (2011)
Unforgiven 	1992	156332	8.3	0000001222	Unforgiven (1992)
Superman Returns 	2006	155945	6.3	0000112101	Superman Returns (2006)
The Wizard of Oz 	1939	155932	8.1	0000001212	The Wizard of Oz (1939)
Equilibrium 	2002	155512	7.6	0000002211	Equilibrium (2002)
The Terminal 	2004	155262	7.2	0000012210	The Terminal (2004)
Crazy, Stupid, Love. 	2011	154545	7.5	0000002311	Crazy, Stupid, Love. (2011)
Unbreakable 	2000	151586	7.2	0000012210	Unbreakable (2000)
Super 8 	2011	151377	7.2	0000012210	Super 8 (2011)
Wo hu cang long 	2000	151324	7.9	0000001222	Wo hu cang long (2000)
TRON: Legacy 	2010	151246	6.9	0000012211	TRON: Legacy (2010)
Lord of War 	2005	150855	7.6	0000002311	Lord of War (2005)
Kung Fu Panda 	2008	150760	7.6	0000002311	Kung Fu Panda (2008)
Burn After Reading 	2008	150653	7.1	0000012210	Burn After Reading (2008)
Life of Brian 	1979	150097	8.1	0000001222	Life of Brian (1979)
Amadeus 	1984	149533	8.3	0000001222	Amadeus (1984)
Die Hard 2 	1990	148719	7.1	0000013200	Die Hard 2 (1990)
Yes Man 	2008	148615	6.9	0000013200	Yes Man (2008)
Moulin Rouge! 	2001	148456	7.6	0000001212	Moulin Rouge! (2001)
National Treasure 	2004	148095	6.8	0000013200	National Treasure (2004)
127 Hours 	2010	148082	7.8	0000002311	127 Hours (2010)
Hotel Rwanda 	2004	147292	8.1	0000001222	Hotel Rwanda (2004)
Dead Poets Society 	1989	146737	7.9	0000001221	Dead Poets Society (1989)
Home Alone 	1990	146585	7.2	0000012211	Home Alone (1990)
Artificial Intelligence: AI 	2001	146584	7.0	0000012211	Artificial Intelligence: AI (2001)
The Machinist 	2004	146298	7.8	0000002311	The Machinist (2004)
Apocalypto 	2006	145929	7.8	0000001311	Apocalypto (2006)
Stand by Me 	1986	145877	8.1	0000001322	Stand by Me (1986)
Beauty and the Beast 	1991	145049	8.0	0000001212	Beauty and the Beast (1991)
Scott Pilgrim vs. the World 	2010	144947	7.6	0000001211	Scott Pilgrim vs. the World (2010)
As Good as It Gets 	1997	143646	7.8	0000002311	As Good as It Gets (1997)
The Godfather: Part III 	1990	143541	7.6	0000002211	The Godfather: Part III (1990)
50 First Dates 	2004	143105	6.8	0000012100	50 First Dates (2004)
The Thing 	1982	142420	8.1	0000001222	The Thing (1982)
Interview with the Vampire: The Vampire Chronicles 	1994	142069	7.5	0000002211	Interview with the Vampire: The Vampire Chronicles (1994)
The Devil Wears Prada 	2006	141368	6.7	0000012100	The Devil Wears Prada (2006)
Fast Five 	2011	141106	7.3	0000012211	Fast Five (2011)
Ghost Busters 	1984	140970	7.8	0000002311	Ghost Busters (1984)
Eyes Wide Shut 	1999	139278	7.2	0000012211	Eyes Wide Shut (1999)
The Mummy Returns 	2001	139199	6.2	0000122100	The Mummy Returns (2001)
Starship Troopers 	1997	138626	7.2	0000012211	Starship Troopers (1997)
Due Date 	2010	138213	6.6	0000022100	Due Date (2010)
The Lost World: Jurassic Park 	1997	138208	6.3	0000122100	The Lost World: Jurassic Park (1997)
Shichinin no samurai 	1954	137749	8.7	0000000124	Shichinin no samurai (1954)
O Brother, Where Art Thou? 	2000	137606	7.8	0000001321	O Brother, Where Art Thou? (2000)
Midnight in Paris 	2011	137105	7.7	0000001311	Midnight in Paris (2011)
Mission: Impossible III 	2006	137044	6.8	0000013200	Mission: Impossible III (2006)
Der Untergang 	2004	136173	8.3	0000001222	Der Untergang (2004)
Hellboy 	2004	135369	6.9	0000013200	Hellboy (2004)
Back to the Future Part III 	1990	135292	7.3	0000012211	Back to the Future Part III (1990)
Con Air 	1997	134889	6.7	0000013100	Con Air (1997)
Total Recall 	1990	134698	7.5	0000012310	Total Recall (1990)
Jackie Brown 	1997	134605	7.6	0000002311	Jackie Brown (1997)
The Deer Hunter 	1978	134540	8.2	0000001222	The Deer Hunter (1978)
Pineapple Express 	2008	134531	7.0	0000012211	Pineapple Express (2008)
The Boondock Saints 	1999	134466	7.8	0000001222	The Boondock Saints (1999)
Deja Vu 	2006	134405	7.0	0000013200	Deja Vu (2006)
Raging Bull 	1980	134090	8.3	0000001222	Raging Bull (1980)
Vertigo 	1958	134075	8.5	0000001222	Vertigo (1958)
Garden State 	2004	133754	7.7	0000001212	Garden State (2004)
Forgetting Sarah Marshall 	2008	133642	7.3	0000012211	Forgetting Sarah Marshall (2008)
Vanilla Sky 	2001	133548	6.8	0000012211	Vanilla Sky (2001)
Anchorman: The Legend of Ron Burgundy 	2004	133410	7.2	0000012211	Anchorman: The Legend of Ron Burgundy (2004)
Das Leben der Anderen 	2006	133281	8.4	0000000232	Das Leben der Anderen (2006)
Constantine 	2005	133020	6.8	0000012201	Constantine (2005)
Seven Pounds 	2008	132264	7.5	0000001211	Seven Pounds (2008)
Fear and Loathing in Las Vegas 	1998	131797	7.7	0000001212	Fear and Loathing in Las Vegas (1998)
The Nightmare Before Christmas 	1993	131021	8.0	0000001212	The Nightmare Before Christmas (1993)
